,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,10%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,DEF*,,,,,,,,,,,,,
