,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,DEF*,,,,,,,,,,,,,
