,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,17%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,DEF*,,,,,,,,
