,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,
,,,,,,,,,,,,,,,,,,2%,8,,,,,,,37,9,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,16,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,17,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,18,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,21,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,22,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,23,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,24,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,26,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,27,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,29,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,30,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,31,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,32,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,33,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,34,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,35,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,36,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,37,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,38,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,46,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,BK*,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,OFF*,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,DEF*,,,,,,,,,,,
