1983 Baltimore                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
INT,,,,,,0%,3%,5%,5%,2%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,6%,11%,17%,19%,17%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,OFF 10,7,0,DEF 15,OFF 5,9,INT 13,48,28,0,0,20,27,,,32,12,93,,,,,,,,
,,1,OFF 15,DEF 5,5,OFF 10,2,QT,41,20,0,0,13,-3,,,33,15,81,,,,,,,,
,,4,DEF 15,DEF 5X,OFF 10,OFF 10,8,OFF 5,52,DEF 5X,0,Yardage factors: 100% / 80%,13,-4,,,34,18,66,,,,,,,,
,,3,F + 4,5,OFF 5,18,OFF 10,OFF 10,OFF 10,OFF 10,0,0,27,10,,,35,18,48,,,,,,,,
,,DEF 5,OFF 5,-3,2,-1,DEF 5X,INT 15,60,6,0,0,11,18,,,36,12,30,,,,,,,,
,,OFF 5,6,-5,9,7,INT 10,22,DEF 5,16,0,0,22,22,,,37,9,18,,,,,,,,
,,5,OFF 10,OFF 5,DEF 5,15,7,DEF 5X,OFF 5,OFF 5,0,0,16,-5,,,38,6,9,,,,,,,,
,,3,8,OFF 15,5,9,DEF 5,11,DEF 5X,7,0,0,10,-13,,,39,3,3,,,,,,,,
,,4,DEF 5X,OFF 10,3,13,OFF 5,INT 17,TD,24,0,0,19,-8,,,,,,,,,,,,,
,,OFF 15,-1,F + 13,OFF 15,72,TD,QT,PI 32,68,0,0,11,-6,,,,,,,,,,,,,
,,F - 1,-2,9,4,16,4,16,20,INT 7,0,0,18,-12,,,,,,,,,,,,,
,,5,6,8,7,-8,1,10,INT 24,25,0,Power rating: 219½ ± ½,39,-6,,,,,,,,,,,,,
,,B,1,F,8,DEF 5,OFF 10,15,25,3,0,0,29,16,,,,,,,,,,,,,
,,5,7,7,F,3,8,19,OFF 10,10,0,0,12,11,,,,,,,,,,,,,
,,6,0,2,B,QT,QT,QT,QT,QT,0,0,17,-9,,,,,,,,,,,,,
,,3,2,5,0,11,QT,QT,QT,QT,0,0,33,-8,,,,,,,,,,,,,
,,9,6,-2,2,4,9,12,QT,OFF 10,0,0,19,F - 10,,,,,,,,,,,,,
,,-1,5,5,1,-7,8,19,QT,5,0,0,56,-8,,,,,,,,,,,,,
,,F - 2,F - 3,-1,-1,8,4,17,INT 26,PI 11,0,0,20,-11,,,,,,,,,,,,,
,,DEF 15,8,5,3,TD,9,PI 19,QT,13,0,0,12,-14,,,,,,,,,,,,,
,,1,B,1,4,-1,6,13,0,21,0,0,10,-10,,,,,,,,,,,,,
,,8,2,9,2,0,7,OFF 10,0,9,0,0,11,8,,,,,,,,,,,,,
,,0,3,B,-2,5,9,21,0,QT,0,0,23,-7,,,,,,,,,,,,,
,,7,6,6,4,6,5,18,0,0,0,0,12,9,,,,,,,,,,,,,
,,6,B,0,B,0,0,0,0,0,0,0,24,-2,,,,,,,,,,,,,
,,3,-1,3,6,0,0,0,0,0,0,0,14,5,,,,,,,,,,,,,
,,5,5,4,3,0,2,0,21,0,0,0,26,4,,,,,,,,,,,,,
,,B,4,B,-3,OFF 10,9,QT,28,0,0,0,10,1,,,,,,,,,,,,,
,,6,9,-1,1,F + 6,3,DEF 5,37,0,0,0,15,2,,,,,,,,,,,,,
,,-3,DEF 15,9,2,OFF 15,PI 7,14,32,DEF 5,0,0,11,33,,,,,,,,,,,,,
