,,,,,,,,,,,,,DEF,,,,,4%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,7%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,1%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
,,,,,,,,,,,,,,,,,,7%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,1%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,6%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,3%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,8%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,13%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,9%,14,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,DEF*,,,,,,,,
