1983 Detroit                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,,0,7,-10,2,INT -6,12,DEF 5X,23,7,0,0,11,3,,,37,9,18,,,,,,,,
,,0,9,F - 5,OFF 5,F - 1,4,12,DEF 5X,10,0,0,30,2,,,38,6,9,,,,,,,,
,,3,-2,OFF 15,5,43,OFF 10,19,37,QT,0,0,19,27,,,39,3,3,,,,,,,,
,,5,6,DEF 15,3,DEF 5,6,11,OFF 15,40,0,0,14,4,,,,,,,,,,,,,
,,OFF 15,OFF 15,4,OFF 15,OFF 15,OFF 15,PI 18,PI 32,PI 21,0,0,15,F - 9,,,,,,,,,,,,,
,,-2,7,5,F - 1,17,10,15,33,QT,0,0,40,5,,,,,,,,,,,,,
,,2,-1,9,0,16,15,16,QT,DEF 5X,0,Power rating: 221 ± 2,37,9,,,,,,,,,,,,,
,,DEF 5,1,OFF 5,1,27,0,F + 13,QT,14,0,0,10,6,,,,,,,,,,,,,
,,1,5,7,3,0,9,INT 18,OFF 10,13,0,0,16,-6,,,,,,,,,,,,,
,,4,4,B,7,3,11,10,INT 28,QT,0,0,13,-3,,,,,,,,,,,,,
,,0,0,3,8,5,8,14,QT,-2,0,0,11,-9,,,,,,,,,,,,,
,,-1,0,0,1,15,F + 9,17,QT,6,0,0,20,8,,,,,,,,,,,,,
,,3,2,9,-1,10,-2,QT,QT,OFF 10,0,0,18,-4,,,,,,,,,,,,,
,,F - 2,DEF 5,9,7,4,14,PI 15,31,32,0,0,41,-6,,,,,,,,,,,,,
,,8,DEF 15,OFF 10,DEF 15,6,16,13,DEF 15,18,0,0,15,-12,,,,,,,,,,,,,
,,6,4,8,DEF 5,7,5,18,0,46,0,0,14,-13,,,,,,,,,,,,,
,,1,B,F,5,9,17,0,0,1,0,0,24,-11,,,,,,,,,,,,,
,,4,5,1,0,0,0,0,0,0,0,0,13,-6,,,,,,,,,,,,,
,,B,4,2,9,0,0,0,0,0,0,0,11,-7,,,,,,,,,,,,,
,,4,5,B,0,0,0,0,39,0,0,0,12,-10,,,,,,,,,,,,,
,,4,5,1,B,-2,0,0,0,0,0,0,10,-9,,,,,,,,,,,,,
,,4,5,2,1,0,0,0,0,0,0,0,16,-5,,,,,,,,,,,,,
,,9,3,-1,4,0,7,0,22,3,0,0,26,F - 8,,,,,,,,,,,,,
,,8,4,8,2,8,10,0,0,15,0,0,56,-2,,,,,,,,,,,,,
,,7,5,-2,B,QT,PI 7,16,80,OFF 5,0,0,25,-14,,,,,,,,,,,,,
