,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,,,,,,,,,,,,,,,,,,0%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,11%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,DEF*,,,,,,,,
