1983 Kansas City                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,27,F,1,8,3,15,14,17,,DEF 5X,,,15,-3,27,,,,,,,,,,,,
,28,OFF 10,1,OFF 5,-4,1,OFF 10,19*,,1,,,17,-13,28,,,,,,,,,,,,
,29,5,1,-5,8*,DEF 15,OFF 5,PI 18,49*,DEF 15,,,11,-7,29,,,,,,,,,,,,
,30,1,-2,2,9,14,4,18,,21*,,,10,-8,30,,,,,,,,,,,,
,31,,7,6,-2,12,1,14,,16,,,11,-10,31,,,,,,,,,,,,
,32,,1,5,5,3,5,11,,9,,,24,-9,32,,,,,,,,,,,,
,33,1,3,B,1,7,2,15,24*,10,,,18,-5,33,,,,,,,,,,,,
,34,B,,1*,B,6,8,7,50,6*,,,11,-8,34,,,,,,,,,,,,
,35,1,B,3,,5,6,9*,QT,8*,,,10,-7,35,,,,,,,,,,,,
,36,3,4,7,1,9,7,12,,7*,,,21,-4,36,,,,,,,,,,,,
,37,2,1,-1,6,10,11,13*,33,5*,,,19,-5,37,,,,,,,,,,,,
,38,4,9, -2*,3,18,13,OFF 5,DEF 5X,19,,,15,-12,38,,,,,,,,,,,,
,39,8,OFF 5,-5,-1,53,4,QT,,4*,,,11,-14,39,,,,,,,,,,,,
,"With Bill Kenney and Todd Blackledge both on the roster, starting Steve Fuller was traded to the Los Angeles Rams on August 19. Kenney earned a Pro Bowl berth after racking up a franchise-record 4,348 passing yards, while wide receiver Carlos Carson hauled in 80 passes for 1,351 yards. Despite the team's high-flying passing game, head coach John Mackovic had trouble finding a suitable replacement for Joe Delaney and the running back position. The highest scoring contest in franchise history took place as the Chiefs and Seattle Seahawks combined for 99 points in a wild, 51–48 overtime loss at the Kingdome. A meager crowd of 11,377 attended the club's season-ending 48–17 win against Denver on December 18, the smallest attendance figure ever for a Chiefs game at Arrowhead as the club finished the year at 6–10",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,17%,15%,17%,16%,13%,12%,18%,43%,30%,,,0%,81%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,59,10,2,216,26-39,,,,,,,
"1 +1, 2",,64%,66%,60%,65%,75%,76%,59%,32%,57%,,,100%,16%,,,11,3,214,26,,,,,,,
"4 +1, 2",,13%,25%,21%,18%,66%,57%,59%,32%,56%,,,100%,10%,,,12,4,211,26,128,,,,,,
8 +2,,3%,6%,5%,4%,38%,27%,50%,32%,36%,,,100%,7%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,20%,7%,31%,32%,15%,,,58%,0%,,,14,6,202,,,,,,,,
B / T3,,8%,8%,11%,8%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,0%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,3%,2%,2%,3%,4%,2%,2%,0%,1%,,,0%,2%,,,18,2,183,,,,,,,,
OFF Pen,,4%,4%,4%,4%,6%,6%,8%,9%,6%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,4%,5%,6%,4%,1%,4%,6%,6%,6%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,0%,0%,1%,3%,0%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,1%,0%,6%,8%,0%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,2,4,-5,7,QT,5,PI 14,DEF 15,OFF 5,0,0,11,-8,,,32,12,93,,,,,,,,
,,7,4,4,F,29,7,QT,29,-5,0,0,12,-1,,,33,15,81,,,,,,,,
,,OFF 5,F,1,OFF 10,OFF 10,-1,QT,52,PI 16,0,Yardage factors: 100% / 80%,18,8,,,34,18,66,,,,,,,,
,,1,5,F,4,0,F + 2,F + 10,20,-1,0,0,11,9,,,35,18,48,,,,,,,,
,,DEF 5,8,2,1,13,DEF 5X,16,23,-4,0,0,15,11,,,36,12,30,,,,,,,,
,,4,-1,1,2,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,0,0,11,3,,,37,9,18,,,,,,,,
,,6,1,OFF 10,F,2,17,QT,40,OFF 10,0,0,11,-2,,,38,6,9,,,,,,,,
,,9,-5,0,4,8,6,INT 7,26,F + 6,0,0,10,-7,,,39,3,3,,,,,,,,
,,DEF 15,DEF 15,DEF 15,DEF 15,OFF 5,PI 10,DEF 15,OFF 5,14,0,0,14,-8,,,,,,,,,,,,,
,,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,0,0,12,F - 6,,,,,,,,,,,,,
,,1,OFF 10,9,OFF 5,25,10,OFF 10,PI 31,12,0,0,14,F - 9,,,,,,,,,,,,,
,,1,2,1,DEF 5,11,5,DEF 5X,INT 32,13,0,Power rating: 216½ ± 2,10,6,,,,,,,,,,,,,
,,-1,DEF 5,B,2,8,3,0,0,0,0,0,11,1,,,,,,,,,,,,,
,,3,3,DEF 5,2,4,0,0,OFF 10,0,0,0,13,-13,,,,,,,,,,,,,
,,1,6,-3,1,0,0,0,0,0,0,0,28,-6,,,,,,,,,,,,,
,,3,1,1,1,0,9,10,0,0,0,0,49,-6,,,,,,,,,,,,,
,,-2,1,1,3,F - 7,3,0,0,0,0,0,16,-11,,,,,,,,,,,,,
,,F,1,8,3,15,14,17,0,DEF 5X,0,0,15,-3,,,,,,,,,,,,,
,,OFF 10,1,OFF 5,-4,1,OFF 10,19,0,1,0,0,17,-13,,,,,,,,,,,,,
,,5,1,-5,8,DEF 15,OFF 5,PI 18,49,DEF 15,0,0,11,-7,,,,,,,,,,,,,
,,1,-2,2,9,14,4,18,0,21,0,0,10,-8,,,,,,,,,,,,,
,,0,7,6,-2,12,1,14,0,16,0,0,11,-10,,,,,,,,,,,,,
,,0,1,5,5,3,5,11,0,9,0,0,24,-9,,,,,,,,,,,,,
,,1,3,B,1,7,2,15,24,10,0,0,18,-5,,,,,,,,,,,,,
,,B,0,1,B,6,8,7,50,6,0,0,11,-8,,,,,,,,,,,,,
,,1,B,3,0,5,6,9,QT,8,0,0,10,-7,,,,,,,,,,,,,
,,3,4,7,1,9,7,12,0,7,0,0,21,-4,,,,,,,,,,,,,
,,2,1,-1,6,10,11,13,33,5,0,0,19,-5,,,,,,,,,,,,,
,,4,9,-2,3,18,13,OFF 5,DEF 5X,19,0,0,15,-12,,,,,,,,,,,,,
,,8,OFF 5,-5,-1,53,4,QT,0,4,0,0,11,-14,,,,,,,,,,,,,
