,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,DEF*,,,,,,,,,,,,,
