1983 Washington                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,38,-1,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,,,23,-4,38,,,,,,,,,,,,
,39,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,PI 27,DEF 15,,,19,-1,39,,,,,,,,,,,,
,"The Redskins went  14-2 through the regular season, and advancing all the way to Super Bowl XVIII. Not only did they only lose two games, but those two losses were by a combined two points. The bookmakers favored Washington by three, and most expected the Redskins to peel off their second straight Lombardi trophy, but Los Angeles had other ideas. Marcus Allen and the Raiders stunned the burgundy and gold faithful, with a 38-9 thrashing of the Redskins. At the time, the 29-point margin of victory was the largest in Super Bowl history.
",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,13%,14%,28%,19%,41%,29%,13%,55%,35%,,,0%,51%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,56,10,2,216,27-39,,,,,,,
"1 +1, 2",,76%,70%,44%,60%,43%,50%,65%,20%,43%,,,100%,44%,,,11,3,214,27,,,,,,,
"4 +1, 2",,60%,59%,20%,44%,28%,44%,65%,20%,42%,,,100%,40%,,,12,4,211,27,120,,,,,,
8 +2,,3%,9%,1%,6%,25%,20%,65%,20%,37%,,,100%,23%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,14%,0%,36%,20%,36%,,,78%,13%,,,14,6,202,,,,,,,,
B / T3,,1%,4%,14%,8%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,3%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,1%,1%,3%,2%,0%,2%,0%,0%,0%,,,0%,5%,,,18,2,183,,,,,,,,
OFF Pen,,5%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,4%,4%,4%,4%,6%,8%,8%,5%,6%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,1%,0%,0%,1%,0%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,4%,4%,9%,11%,10%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,5,OFF 15,OFF 15,OFF 15,OFF 15,OFF 15,PI 13,PI 37,OFF 15,0,0,19,48,,,32,12,93,,,,,,,,
,,9,8,9,B,DEF 15,9,QT,30,-1,0,0,11,-2,,,33,15,81,,,,,,,,
,,-2,9,6,6,26,8,QT,21,5,0,Yardage factors: 100% / 80%,41,22,,,34,18,66,,,,,,,,
,,OFF 10,-1,0,B,14,9,QT,26,22,0,0,36,17,,,35,18,48,,,,,,,,
,,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,DEF 5,0,0,16,13,,,36,12,30,,,,,,,,
,,5,-2,F,3,10,2,DEF 5X,QT,21,0,0,22,4,,,37,9,18,,,,,,,,
,,5,-4,4,F,23,2,20,39,18,0,0,44,15,,,38,6,9,,,,,,,,
,,5,7,-6,9,34,7,11,22,QT,0,0,13,14,,,39,3,3,,,,,,,,
,,B,2,-8,4,20,9,18,INT 26,8,0,0,10,0,,,,,,,,,,,,,
,,OFF 15,-3,-13,B,67,QT,17,84,4,0,0,17,F - 23,,,,,,,,,,,,,
,,OFF 5,5,-4,2,-6,F + 10,16,43,20,0,0,37,12,,,,,,,,,,,,,
,,1,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,0,Power rating: 229.5 ± 1.25,36,11,,,,,,,,,,,,,
,,5,5,7,B,QT,QT,QT,QT,QT,0,0,16,3,,,,,,,,,,,,,
,,4,4,-3,0,3,7,11,0,QT,0,0,18,-3,,,,,,,,,,,,,
,,2,2,-2,5,2,6,20,0,15,0,0,15,10,,,,,,,,,,,,,
,,6,7,4,6,9,9,11,0,15,0,0,10,5,,,,,,,,,,,,,
,,2,6,3,-2,7,7,10,20,21,0,0,17,-13,,,,,,,,,,,,,
,,5,5,0,3,0,10,14,28,13,0,0,31,7,,,,,,,,,,,,,
,,8,3,B,7,11,3,11,45,PI 15,0,0,48,8,,,,,,,,,,,,,
,,F,F,B,5,INT -7,6,10,46,2,0,0,13,1,,,,,,,,,,,,,
,,7,1,B,-3,-1,4,11,TD,7,0,0,26,-12,,,,,,,,,,,,,
,,4,4,0,7,1,6,17,0,16,0,0,14,-11,,,,,,,,,,,,,
,,5,8,3,5,14,9,12,0,12,0,0,11,6,,,,,,,,,,,,,
,,6,0,1,6,0,0,0,0,0,0,0,20,-9,,,,,,,,,,,,,
,,0,5,B,-1,0,0,10,0,0,0,0,11,-8,,,,,,,,,,,,,
,,4,6,2,1,0,0,21,0,0,0,0,12,-7,,,,,,,,,,,,,
,,5,5,5,5,0,0,0,0,0,0,0,15,-10,,,,,,,,,,,,,
,,3,B,-1,8,-4,DEF 5X,14,QT,0,0,0,13,F - 1,,,,,,,,,,,,,
,,-1,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,0,0,23,-4,,,,,,,,,,,,,
,,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,DEF 15,PI 27,DEF 15,0,0,19,-1,,,,,,,,,,,,,
