,,,,,,,,,,,,,,,,,,11%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,DEF*,,,,,,,,,,,,,
