,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,Short Pass,4,1,2,3,(13),-3,(3),-10,,(4),,65,OFF 15,50,13,,DEF 5X,28,,1,1,1,1,,,,,,,,
,,5,1,2,3,2,-5,,-10,-20,-10,,55,26,28*,,,24,29,,1,1,1,1,,,,,,,,
,E,1,,,,,(10),,-1,-20,,,54,25,43,18,,11,30,,1,1,1,1,,,,,,,,
,,2,1,2,3,2,,,-1,,(15),,64,31,49,,,10,31,,1,1,1,1,,,,,,,,
,,3,1,1,1,1,,(10),-1,,,,54,17,41,9,22,36,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,,,(10),-1,-20,,,57,23,42*,3,27,BK -5,33,,-4,1,1,1,,,,,,,,
,,5,,,(5),,17,(31),-10,-20,-10,,64,15,37*,7,29,5,34,,1,1,1,1,,,,,,,,
,F,1,6,6,12,7,(25),,,,,,64,20,29*,7,,31,35,,1,1,1,1,,,,,,,,
,,2,-1,-1,-1,-1,,,,QT,-10,,64,19,36*,,20,18,36,,1,1,1,1,,,,,,,,
,,3,-2,-2,-2,-2,17,(20),,QT,,,60,33,52,,,13,37,,1,1,1,1,,,,,,,,
,Blitz,4,-3,-4,-8,-6,(28),,QT,INT 34,-10,,58,49,34*,F,OFF 15,32,38,,1,1,1,1,,,,,,,,
,,5,-4,-5,-10,-5,[TD],(0),QT,INT 41,QT,,64,DEF 15,60,3,2,OFF 5,39,,1,1,1,1,,,,,,,,
,"Record: 8-8-0, Finished 2nd in AFC East Division… L 12-0 vs Miami Dolphins; W 10-6 at Cincinnati Bengals; W 28-23 vs Baltimore Colts; W 30-13 vs Houston Oilers;  
L 34-10 vs New York Jets; W 38-35 at Miami Dolphins (OT); W 30-7 at Baltimore Colts; L 31-0 vs New England Patriots; W 27-21 vs New Orleans Saints; L 21-7 at New England Patriots; W 24-17 at New York Jets; L 27-24 vs Los Angeles Raiders; L 41-17 at Los Angeles Rams; W 14-9 at Kansas City Chiefs; L 23-10 vs San Francisco 49ers; L 31-14 at Atlanta Falcons. 


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,9%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,80%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,80%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,72%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,55%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,36%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,20%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,17%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,6%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,5%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,6%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,8%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,4%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,3%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,9%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,DEF*,,,,,,,,,,,,,
