,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,,2,,,,,,,,INT 36,,,OB,16,38,OFF 15,,OFF 5,31,,1,1,1,1,,,
,,3,,,,,,(6),(14),,(3),,63,15,43*,1,21,26,32,,1,1,1,1,,,
,Long Pass,4,,,,,18,9,,,,,57,19,44*,7,22,28,33,,1,1,1,1,,,
,,5,1,1,,,2,16,,,,,60,22,42*,5,3,22,34,,1,1,1,1,,,
,F,1,,,3,,,,(12),,,,64,20,40*,,11,25,35,,1,1,1,1,,,
,,2,,,6,,,,QT,QT,QT,,50,21,45*,6,17,16,36,,1,1,1,1,,,
,,3,(-1),(-1),-14,(-2),[TD],,,QT,,,59,17,46,1,2,39,37,,1,1,1,1,,,
,Blitz,4,,,,,(30),(16),QT,(21),QT,,52,26,49,27,10,38,38,,1,1,1,1,,,
,,5,,,,,(20),(12),(48),[TD],(37),,53,2,61,15,,OFF 10,39,,1,1,1,1,,,
,"Record: 3-12-1, Finished 5th in NFC East Division… L 16-6 vs Los Angeles Rams; W 16-13 at Atlanta Falcons (OT);  L 28-13 at Dallas Cowboys;  W 27-3 vs Green Bay Packers;   L 41-34 vs San Diego Chargers; L 17-13 vs Philadelphia Eagles; L 38-17 at Kansas City Chiefs; T 20-20 at St. Louis Cardinals (OT); L 38-20 vs Dallas Cowboys; L 15-9 at Detroit Lions; L 33-17 vs Washington Redskins; W 23-0 at Philadelphia Eagles; L 27-12 at Los Angeles Raiders;  L 10-6 vs St. Louis Cardinals; L 17-12 vs Seattle Seahawks; L 31-22 at Washington Redskins.  

",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,0%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,88%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,88%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,88%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,88%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,78%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,66%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,45%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,30%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,6%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,6%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,6%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,9%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,DEF*,,,,,,,,
