,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,Blitz,4,,(-3),(-3),,,INT 5,[TD],,,,65,F + 11,50,12,OFF 15,20,38,,1,1,1,1,,,,,,,,
,,5,,(3),,,,,INT 15,[TD],INT 16,,53,,40,10,,31,39,,1,1,1,1,,,,,,,,
,"Record: 2-14-0, Finished 4th in AFC Central Division... L 41-38 vs Green Bay Packers (OT); L 20-6 at Los Angeles Raiders; L 40-28 vs Pittsburgh Steelers;  L 30-13 at Buffalo Bills;  L 17-10 at Pittsburgh Steelers;  L 26-14 vs Denver Broncos; L 34-14 at Minnesota Vikings;  L 13-10 vs Kansas City Chiefs (OT); L 25-19 at Cleveland Browns (OT); L 55-14 vs Cincinnati Bengals; W 27-17 vs Detroit Lions; L 38-10 at Cincinnati Bengals; L 33-24 at Tampa Bay Buccaneers; L 24-17 vs Miami Dolphins; W 34-27 vs Cleveland Browns; L 20-10 at Baltimore Colts.  
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,5%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,90%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,90%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,87%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,75%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,65%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,51%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,32%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,19%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,9%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,3%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,2%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,3%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,3%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,DEF*,,,,,,,,,,,,,
