1983 Houston                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,34,4,1,4,1,,,,QT,9,,,11,-9,34,,,,,,,,,,,,
,35,4,2,1,1,,,,,17*,,,20,-11,35,,,,,,,,,,,,
,36,4,5,5,7,9,7,,,4*,,,42,-1,36,,,,,,,,,,,,
,37,4,1,7,6,8,QT,OFF 10,,9*,,,12,-14,37,,,,,,,,,,,,
,38,OFF 5,OFF 10,OFF 5,OFF 5,28,OFF 5,OFF 5,,16*,,,14,14,38,,,,,,,,,,,,
,39,DEF 5,DEF 15,DEF 5,DEF 5,3,PI 7,INT 13,QT,5,,,17,F,39,,,,,,,,,,,,
,"The 1983 Houston Oilers season was the 24th season the team was with the league.The Oilers got off to a miserable 1-5 start prompting head Coach Ed Biles to resign. He would be replaced by Chuck Studley but the Oilers would not do any better, winning just two of ten games under Studley, and finishing with a terrible 3-13 record. Following the season the Oilers would make Hugh Campbell its new coach.
 ",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,10%,8%,13%,10%,37%,31%,54%,41%,20%,,,0%,74%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,70,10,2,216,24-39,,,,,,,
"1 +1, 2",,77%,78%,69%,71%,45%,48%,21%,29%,56%,,,100%,16%,,,11,3,214,24,,,,,,,
"4 +1, 2",,65%,42%,39%,38%,30%,48%,21%,29%,54%,,,100%,16%,,,12,4,211,24,152,,,,,,
8 +2,,3%,8%,11%,8%,25%,18%,21%,29%,47%,,,100%,10%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,9%,10%,19%,29%,25%,,,87%,6%,,,14,6,202,,,,,,,,
B / T3,,0%,4%,8%,8%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,0%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,4%,3%,2%,3%,0%,0%,0%,0%,2%,,,0%,10%,,,18,2,183,,,,,,,,
OFF Pen,,5%,6%,6%,6%,8%,6%,9%,7%,6%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,4%,2%,2%,3%,3%,8%,8%,6%,6%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,3%,2%,3%,6%,1%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,4%,4%,4%,10%,8%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,OFF 15,DEF 5,DEF 15,5,9,DEF 15,DEF 5,34,DEF 5X,0,0,10,-3,,,32,12,93,,,,,,,,
,,9,8,-3,DEF 15,15,9,DEF 15,40,DEF 15,0,0,12,6,,,33,15,81,,,,,,,,
,,DEF 15,9,4,4,5,8,PI 23,PI 20,F + 10,0,Yardage factors: 100% / 80%,24,7,,,34,18,66,,,,,,,,
,,3,-1,OFF 15,1,4,32,OFF 5,DEF 5X,15,0,0,17,-2,,,35,18,48,,,,,,,,
,,-1,7,-2,5,66,DEF 5X,18,OFF 5,13,0,0,14,-8,,,36,12,30,,,,,,,,
,,2,F - 2,-1,3,11,13,QT,23,10,0,0,27,-5,,,37,9,18,,,,,,,,
,,7,6,F + 3,2,DEF 5,8,INT 10,21,8,0,0,26,0,,,38,6,9,,,,,,,,
,,8,5,-6,5,2,6,QT,44,INT 4,0,0,10,17,,,39,3,3,,,,,,,,
,,DEF 15,-2,OFF 10,OFF 15,DEF 15,16,17,39,DEF 5,0,0,10,-1,,,,,,,,,,,,,
,,B,9,-8,0,OFF 15,INT 4,29,DEF 15,PI 9,0,0,19,-14,,,,,,,,,,,,,
,,-2,OFF 5,2,0,-6,6,24,DEF 5,3,0,0,10,20,,,,,,,,,,,,,
,,1,7,6,B,INT -1,DEF 5,11,43,12,0,Power rating: 211 ± 1½,27,4,,,,,,,,,,,,,
,,5,5,B,0,OFF 10,OFF 10,DEF 5X,25,QT,0,0,15,11,,,,,,,,,,,,,
,,4,0,B,9,0,5,0,OFF 10,QT,0,0,23,F - 7,,,,,,,,,,,,,
,,0,3,8,B,0,0,0,48,11,0,0,80,-12,,,,,,,,,,,,,
,,5,4,9,6,0,0,0,46,14,0,0,35,-7,,,,,,,,,,,,,
,,F + 2,B,0,8,OFF 5,0,0,INT 26,OFF 5,0,0,14,-5,,,,,,,,,,,,,
,,5,6,5,F + 3,0,15,0,INT 24,OFF 10,0,0,16,-6,,,,,,,,,,,,,
,,6,8,3,OFF 10,12,INT 10,0,47,PI 13,0,0,25,-4,,,,,,,,,,,,,
,,OFF 10,OFF 15,1,-2,6,14,0,0,0,0,0,17,-7,,,,,,,,,,,,,
,,4,8,5,-1,8,11,12,0,0,0,0,13,-9,,,,,,,,,,,,,
,,3,3,1,1,QT,6,19,0,0,0,0,12,F - 6,,,,,,,,,,,,,
,,4,3,1,1,1,7,23,0,0,0,0,29,-13,,,,,,,,,,,,,
,,4,4,1,5,3,4,0,0,0,0,0,18,-10,,,,,,,,,,,,,
,,4,1,4,1,0,0,0,QT,9,0,0,11,-9,,,,,,,,,,,,,
,,4,2,1,1,0,0,0,0,17,0,0,20,-11,,,,,,,,,,,,,
,,4,5,5,7,9,7,0,0,4,0,0,42,-1,,,,,,,,,,,,,
,,4,1,7,6,8,QT,OFF 10,0,9,0,0,12,-14,,,,,,,,,,,,,
,,OFF 5,OFF 10,OFF 5,OFF 5,28,OFF 5,OFF 5,0,16,0,0,14,14,,,,,,,,,,,,,
,,DEF 5,DEF 15,DEF 5,DEF 5,3,PI 7,INT 13,QT,5,0,0,17,F,,,,,,,,,,,,,
