,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,Short Pass,4,,,1,10,,-6,,,,,59,46,30*,15,,24,28,,1,1,1,1,,,,,,,,
,,5,,,(5),,,,,(10),(2),,50,6,37,5,,44,29,,1,1,1,1,,,,,,,,
,E,1,,,(9),,(10),(10),(10),,,,67,25,41,1,,15,30,,1,1,1,1,,,,,,,,
,,2,-1,,,,,,,-24,(10),,64,20,46,2,,17,31,,1,1,1,1,,,,,,,,
,,3,,-1,,,2,7,,,(10),,69,14,42,3,32,27,32,,1,1,1,1,,,,,,,,
,Long Pass,4,,,,10,7,2,,-20,,,64,26,45*,5,2,29,33,,1,1,1,1,,,,,,,,
,,5,,,,,,(12),(28),(10),,,60,19,39,1,11,35,34,,1,1,1,1,,,,,,,,
,F,1,5,,,,-6,-4,QT,QT,QT,,64,27,38,7,32,15,35,,1,1,1,1,,,,,,,,
,,2,5,,(-1),,,,,QT,,,56,24,44,4,1,20,36,,1,1,1,1,,,,,,,,
,,3,5,,-3,,[TD],,(18),,,,54,10,51*,13,18,17,37,,1,1,1,1,,,,,,,,
,Blitz,4,,10,,,,[TD],-5,,,,64,52,55,F - 7,,15,38,,1,1,1,1,,,,,,,,
,,5,,,-13,10,[TD],,,[TD],,,66,F + 16,OFF 10,,,26,39,,1,1,1,1,,,,,,,,
,"Record: 5-11-0, Finished 4th in NFC East Division...W 22-17 at San Francisco 49ers;  L 23-13 vs Washington Redskins; W 13-10 at Denver Broncos;  L 14-11 vs St. Louis Cardinals; W 28-24 at Atlanta Falcons; W 17-13 at New York Giants; Oct 16 L 37-7 at Dallas Cowboys; L 7-6 vs Chicago Bears; L 22-21 vs Baltimore Colts; L 27-20 vs Dallas Cowboys; L 17-14 at Chicago Bears; Nov 20 L 23-0 vs New York Giants;  L 28-24 at Washington Redskins; W 13-9 vs Los Angeles Rams; L 20-17 vs New Orleans Saints (OT);  L 31-7 at St. Louis Cardinals.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,5%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,86%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,86%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,80%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,77%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,51%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,28%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,12%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,12%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,1%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,5%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,1%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,2%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,1%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,2%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,18%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,16%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,DEF*,,,,,,,,,,,,,
