1983 Philadelphia                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,28,8*,2*,DEF 5,-2,,6,12,INT 27,2*,,,14,F - 4,28,,,,,,,,,,,,
,29,9,-2,-7,,,7,18,38,15*,,,13,-1,29,,,,,,,,,,,,
,30,1,7*,5,F,,9,11,50,,,,29,-3,30,,,,,,,,,,,,
,31,-1,8,5,1,,1,15,QT,,,,16,-4,31,,,,,,,,,,,,
,32,3,B,,4,,,,INT 22,9,,,13,-7,32,,,,,,,,,,,,
,33,5,5,4,3,,,,,10,,,17,F - 10,33,,,,,,,,,,,,
,34,-1,3,3,2,,7,,83,,,,11,-9,34,,,,,,,,,,,,
,35,,4,1,1,,4,20,QT,,,,32,-8,35,,,,,,,,,,,,
,36,2,5,B*,4,29,7,,QT*, -1*,,,35,-12,36,,,,,,,,,,,,
,37,1,7,-5,3,34,8,,OFF 10,7*,,,20,-5,37,,,,,,,,,,,,
,38,OFF 5,OFF 5,OFF 5,OFF 5,OFF 10,8*,QT,OFF 10,5*,,,24,F - 2,38,,,,,,,,,,,,
,39,OFF 10,OFF 10,OFF 10,OFF 10,DEF 5,OFF 5,13*,PI 40,22*,,,13,,39,,,,,,,,,,,,
,"The  1983 Philadelphia Eagles got off to a solid start winning four of their first six games. However, they would come crashing down to earth quickly during a crippling seven game losing streak. The Eagles finished in last place with a 5-11 record. Despite the disappointing season Wide Receiver Mike Quick established himself as a new star by collecting 1,409 receiving yards.

",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,27%,14%,12%,13%,56%,32%,42%,21%,52%,,,0%,69%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,50,10,2,216,30-39,,,,,,,
"1 +1, 2",,60%,70%,69%,71%,31%,55%,38%,29%,32%,,,100%,19%,,,11,3,214,30,,,,,,,
"4 +1, 2",,41%,54%,36%,31%,28%,50%,38%,29%,31%,,,100%,18%,,,12,4,211,30,108,,,,,,
8 +2,,8%,8%,5%,7%,21%,16%,38%,29%,24%,,,100%,11%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,15%,0%,31%,29%,11%,,,79%,3%,,,14,6,202,,,,,,,,
B / T3,,3%,6%,6%,6%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,3%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,3%,3%,3%,3%,3%,4%,0%,0%,0%,,,0%,12%,,,18,2,183,,,,,,,,
OFF Pen,,5%,5%,7%,5%,7%,4%,4%,13%,6%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,3%,3%,4%,3%,3%,6%,6%,4%,5%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,0%,0%,0%,7%,0%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,0%,0%,10%,24%,5%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,DEF 5,DEF 5,F - 6,DEF 5,20,DEF 5,DEF 5X,41,DEF 5,0,0,11,0,,,32,12,93,,,,,,,,
,,B,9,6,6,14,7,17,35,OFF 5,0,0,15,29,,,33,15,81,,,,,,,,
,,DEF 15,DEF 15,DEF 15,DEF 15,0,8,15,47,17,0,Yardage factors: 100% / 80%,13,3,,,34,18,66,,,,,,,,
,,-2,7,F,0,4,5,10,22,13,0,0,20,9,,,35,18,48,,,,,,,,
,,9,F,9,-1,OFF 10,5,PI 14,OFF 15,0,0,0,12,11,,,36,12,30,,,,,,,,
,,8,-3,1,7,2,4,17,DEF 5,OFF 10,0,0,18,8,,,37,9,18,,,,,,,,
,,-3,1,8,5,12,8,19,32,OFF 10,0,0,13,4,,,38,6,9,,,,,,,,
,,B,6,-2,8,15,OFF 10,13,TD,DEF 5X,0,0,12,20,,,39,3,3,,,,,,,,
,,1,0,5,9,OFF 5,OFF 15,OFF 5,TD,47,0,0,15,0,,,,,,,,,,,,,
,,OFF 15,OFF 15,9,OFF 15,OFF 15,PI 7,OFF 15,TD,PI 28,0,0,19,18,,,,,,,,,,,,,
,,-1,1,7,8,DEF 15,DEF 15,DEF 15,30,PI 10,0,0,11,6,,,,,,,,,,,,,
,,7,8,2,7,F - 1,DEF 5X,OFF 10,OFF 5,0,0,Power rating: 216½ ± ½,24,5,,,,,,,,,,,,,
,,4,-1,4,4,-3,F + 8,QT,0,22,0,0,29,-5,,,,,,,,,,,,,
,,7,4,1,3,7,0,14,0,QT,0,0,10,-7,,,,,,,,,,,,,
,,4,5,2,B,-5,0,0,0,0,0,0,15,-11,,,,,,,,,,,,,
,,6,0,5,-3,9,0,0,QT,0,0,0,11,-6,,,,,,,,,,,,,
,,5,4,5,2,0,0,QT,53,0,0,0,32,-7,,,,,,,,,,,,,
,,F,3,OFF 15,9,0,8,11,24,0,0,0,12,-14,,,,,,,,,,,,,
,,8,2,DEF 5,-2,0,6,12,INT 27,2,0,0,14,F - 4,,,,,,,,,,,,,
,,9,-2,-7,0,0,7,18,38,15,0,0,13,-1,,,,,,,,,,,,,
,,1,7,5,F,0,9,11,50,0,0,0,29,-3,,,,,,,,,,,,,
,,-1,8,5,1,0,1,15,QT,0,0,0,16,-4,,,,,,,,,,,,,
,,3,B,0,4,0,0,0,INT 22,9,0,0,13,-7,,,,,,,,,,,,,
,,5,5,4,3,0,0,0,0,10,0,0,17,F - 10,,,,,,,,,,,,,
,,-1,3,3,2,0,7,0,83,0,0,0,11,-9,,,,,,,,,,,,,
,,0,4,1,1,0,4,20,QT,0,0,0,32,-8,,,,,,,,,,,,,
,,2,5,B,4,29,7,0,QT,-1,0,0,35,-12,,,,,,,,,,,,,
,,1,7,-5,3,34,8,0,OFF 10,7,0,0,20,-5,,,,,,,,,,,,,
,,OFF 5,OFF 5,OFF 5,OFF 5,OFF 10,8,QT,OFF 10,5,0,0,24,F - 2,,,,,,,,,,,,,
,,OFF 10,OFF 10,OFF 10,OFF 10,DEF 5,OFF 5,13,PI 40,22,0,0,13,0,,,,,,,,,,,,,
