1983 Seattle                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,36,4,6,4*,-3,4,,18,,,,,18,-5,36,,,,,,,,,,,,
,37,6,-1,3,3,-2,,14,,OFF 10,,,13,-11,37,,,,,,,,,,,,
,38,-1,7,9,OFF 5,OFF 10,DEF 5X,INT 13,,OFF 5,,,60,3,38,,,,,,,,,,,,
,39,9,1,OFF 15,5,QT,2,12,40,PI 13,,,11,-12,39,,,,,,,,,,,,
,"Through the first 12 games the Seahawks play up and down football, sweeping the Los Angeles Raiders  Back-to-back road losses to the St. Louis Cardinals and Denver Broncos, however, led to a leveling 6-6 record."" With their playoff hopes dwindling, the Seahawks beat the Kansas City Chiefs 51-48 in a overtime win at the Kingdome. The win would boost the Seahawks to win three of their last four games to finish with a 9-7 record, good enough for a playoff berth. In the Wild Card game the Seahawks would use a balanced offensive attack to beat the Denver Broncos 31-7 at the Kingdome. A week later the Seahawks drive 66 yards in five plays late in the 4th quarter to capture divisional playoff win over the Dolphins 27-20 in Miami. A week later in the AFC Championship Game the Seahawks season would end with a 30-14 loss to the Raiders.


",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,14%,19%,24%,35%,28%,19%,25%,46%,44%,,,0%,63%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,53,10,2,216,28-39,,,,,,,
"1 +1, 2",,70%,67%,59%,50%,57%,56%,50%,22%,36%,,,100%,20%,,,11,3,214,28,,,,,,,
"4 +1, 2",,61%,53%,41%,33%,50%,55%,50%,22%,34%,,,100%,15%,,,12,4,211,28,114,,,,,,
8 +2,,5%,15%,13%,12%,38%,37%,50%,22%,23%,,,100%,15%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,19%,6%,48%,22%,15%,,,79%,6%,,,14,6,202,,,,,,,,
B / T3,,1%,4%,7%,8%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,2%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,2%,2%,1%,1%,3%,2%,2%,0%,2%,,,0%,17%,,,18,2,183,,,,,,,,
OFF Pen,,7%,5%,6%,5%,6%,6%,6%,9%,7%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,5%,3%,3%,1%,3%,6%,6%,6%,6%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,0%,3%,3%,4%,4%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,3%,8%,8%,11%,1%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,B,5,2,9,OFF 15,11,11,OFF 15,16,0,0,13,-2,,,32,12,93,,,,,,,,
,,5,-2,5,7,15,9,13,34,QT,0,0,14,0,,,33,15,81,,,,,,,,
,,4,9,OFF 10,5,QT,4,DEF 5X,31,F + 6,0,Yardage factors: 100% / 80%,11,-4,,,34,18,66,,,,,,,,
,,F,7,4,8,OFF 5,DEF 5,DEF 5,28,13,0,0,31,15,,,35,18,48,,,,,,,,
,,4,-3,OFF 5,6,DEF 5,OFF 5,OFF 10,0,0,0,0,26,8,,,36,12,30,,,,,,,,
,,4,OFF 5,5,3,F,OFF 10,OFF 5,24,0,0,0,24,9,,,37,9,18,,,,,,,,
,,7,OFF 10,-2,2,19,F + 7,0,0,0,0,0,12,-14,,,38,6,9,,,,,,,,
,,6,8,F,1,14,4,0,36,6,0,0,12,18,,,39,3,3,,,,,,,,
,,5,6,DEF 5X,DEF 5,10,0,0,PI 37,9,0,0,11,-4,,,,,,,,,,,,,
,,DEF 15,DEF 15,14,OFF 15,-14,DEF 15,DEF 15,DEF 15,DEF 15,0,0,19,-10,,,,,,,,,,,,,
,,OFF 10,8,DEF 5,5,2,11,PI 12,DEF 5,DEF 5X,0,0,18,-1,,,,,,,,,,,,,
,,5,DEF 5,-5,3,0,INT 12,15,DEF 5X,DEF 5,0,Power rating: 223 ± 1,17,-6,,,,,,,,,,,,,
,,8,7,7,0,5,7,17,OFF 5,INT 7,0,0,28,F - 8,,,,,,,,,,,,,
,,-2,4,3,-2,13,10,16,OFF 10,0,0,0,10,F - 11,,,,,,,,,,,,,
,,3,7,5,-4,11,10,19,QT,18,0,0,14,-7,,,,,,,,,,,,,
,,6,3,8,-1,12,6,0,QT,7,0,0,16,-3,,,,,,,,,,,,,
,,5,B,-3,1,1,12,13,INT 36,4,0,0,15,11,,,,,,,,,,,,,
,,1,5,-1,4,17,7,14,20,20,0,0,11,2,,,,,,,,,,,,,
,,4,F,9,OFF 10,3,13,F + 11,TD,2,0,0,18,17,,,,,,,,,,,,,
,,2,4,6,F,34,PI 6,10,50,32,0,0,11,-24,,,,,,,,,,,,,
,,7,-1,9,5,7,6,15,21,26,0,0,23,-13,,,,,,,,,,,,,
,,DEF 5,9,0,-1,-5,8,17,22,0,0,0,13,-12,,,,,,,,,,,,,
,,OFF 5,8,5,0,8,10,15,0,0,0,0,26,-10,,,,,,,,,,,,,
,,0,3,B,4,9,9,0,0,11,0,0,23,-9,,,,,,,,,,,,,
,,5,5,-4,B,0,0,QT,0,0,0,0,12,-8,,,,,,,,,,,,,
,,4,0,1,9,0,QT,0,0,0,0,0,10,F - 4,,,,,,,,,,,,,
,,4,6,4,-3,4,0,18,0,0,0,0,18,-5,,,,,,,,,,,,,
,,6,-1,3,3,-2,0,14,0,OFF 10,0,0,13,-11,,,,,,,,,,,,,
,,-1,7,9,OFF 5,OFF 10,DEF 5X,INT 13,0,OFF 5,0,0,60,3,,,,,,,,,,,,,
,,9,1,OFF 15,5,QT,2,12,40,PI 13,0,0,11,-12,,,,,,,,,,,,,
