,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,"Record: 9-7-0, Finished 2nd in AFC West Division... L 17-13 at Kansas City Chiefs; W 17-10 at New York Jets; W 34-31 vs San Diego Chargers; L 27-17 vs Washington Redskins; W 24-9 at Cleveland Browns; L 28-21 at San Diego Chargers; W 38-36 vs Los Angeles Raiders; L 27-21 vs Pittsburgh Steelers; W 34-21 at Los Angeles Raiders;   W 27-19 vs Denver Broncos;  L 33-28 at St. Louis Cardinals; L 38-27 at Denver Broncos; W 51-48 vs Kansas City Chiefs (OT); L 35-10 vs Dallas Cowboys; W 17-12 at New York Giants; W 24-6 vs New England Patriots;  Post Season...Wild Card..Playoffs  Dec 24 W 31-7 vs Denver Broncos;  DivisionalPlayoffs W 27-20 at Miami Dolphins;  
Conference Championship L 30-14 at Los Angeles Raiders.  

",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,2%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,89%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,89%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,89%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,81%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,75%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,67%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,40%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,16%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,5%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,3%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,DEF*,,,,,,,,
