,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,,,,,,,,,,,,,Failed,,,,,9%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,80%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,63%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,45%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,36%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,24%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,22%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,10%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,4%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,1%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,6%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,5%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,2%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,8%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,2%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,6%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,6%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,8%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,4%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,6%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,13%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,DEF*,,,,,,,,
