1983 Miami                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,,0,5,0,4,0,6,19,20,14*,0,,15,3,,,,,,,,,,,,,
,,B,4,4,-2,14,0,13,26,QT,0,,19,9,,,,,,,,,,,,,
,,5,3,7,5,F + 2,0,12,21*,F + 7,0,,25,-9,,,,,,,,,,,,,
,,B,F,OFF 5,2,44*,5,20,66,12*,0,0,16,3,,,,,,,,,,,,,
,,DEF 5,5,6*,1,-6,0,12,25,4*,0,0,44,4,,,,,,,,,,,,,
,,1,4,1,3,0,6,0,0,15,0,0,15,15,,,,,,,,,,,,,
,,5,6,4,1,6,9,0,0,0,0,0,18,-7,,,,,,,,,,,,,
,,4,5,3,5,2,3,0,0,0,0,0,11,-13,,,,,,,,,,,,,
,,4,5,5,2,7,9,17,0,0,0,0,14,-10,,,,,,,,,,,,,
,,6,4,5,8,5,7,14,0,0,0,0,12,-2,,,,,,,,,,,,,
,,5,5,4,3,-1,5,0,0,6,0,0,10,8,,,,,,,,,,,,,
,,5,-1,4,B,0,2,0,QT,14,0,0,40,-9,,,,,,,,,,,,,
,,3,DEF 5,F - 1,-3,19,4,0,23,17,0,0,16,7,,,,,,,,,,,,,
,,7,0,B*,-1,8,F + 1,INT 15,QT*,PI 22,0,0,27,13,,,,,,,,,,,,,
