,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,,5,2,,,,,,,(10),4,,56,17,45*,-1,13,20,34,,1,1,1,1,,,,,,,,
,F,1,,,(8),,(20),,-10,QT,-10,,56,23,44*,OFF 15,3,34,35,,1,1,1,1,,,,,,,,
,,2,-5,(5),-7,,,[TD],5,QT,,,63,16,41*,30,33,25,36,,1,1,1,1,,,,,,,,
,,3,,,-8,10,,8,5,,,,58,F + 17,46,13,18,26,37,,1,1,1,1,,,,,,,,
,Blitz,4,,10,-11,,,4,-10,[TD],-10,,50,31,54,15,14,18,38,,1,1,1,1,,,,,,,,
,,5,,,,,,1,,QT,[TD],,42,39,DEF 5,4,TD,2,39,,1,1,-4,1,,,,,,,,
,"Record: 6-10-0, Finished 4th in AFC West Division...  L 41-29 vs New York Jets; W 17-14 at Kansas City Chiefs; L 34-31 at Seattle Seahawks; L 30-24 vs Cleveland Browns (OT); W 41-34 at New York Giants; W 28-21 vs Seattle Seahawks; L 37-21 at New England Patriots; L 14-6 at Denver Broncos; L 27-24 vs Washington Redskins; L 26-3 at Pittsburgh Steelers; W 24-23 vs Dallas Cowboys; L 44-14 at St. Louis Cardinals; W 31-7 vs Denver Broncos; L 42-10 vs Los Angeles Raiders;  
 W 41-38 vs Kansas City Chiefs; L 30-14 at Los Angeles Raiders.  

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,5%,,,,,,,,,216,,,,,
,,,,,,,,,,,,,"1+1,2,3,4",,,,,83%,,,,,,,,10,2,,,,,
,,,,,,,,,,,,,"5+1,2,3,4",,,,,82%,,,,,,,,11,3,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,79%,,,,,,,,12,4,,,,,
,,,,,,,,,,,,,"15+3,4",,,,,69%,,,,,,,,13,5,,,,,
,,,,,,,,,,,,,"20+3,4",,,,,57%,,,,,,,,14,6,,,,,
,,,,,,,,,,,,,"25+3,4",,,,,47%,,,,,,,,15,6,,,,,
,,,,,,,,,,,,,30+4,,,,,20%,,,,,,,,16,4,,,,,
,,,,,,,,,,,,,35+4,,,,,4%,,,,,,,,17,3,,,,,
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2,,,,,
,,,,,,,,,,,,,OFF,,,,,6%,,,,,,,,19,1,,,,,
,,,,,,,,,,,,,DEF,,,,,6%,,,,,,,,20,4,,,,,
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6,,,,,
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8,,,,,
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10,,,,,
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12,,,,,
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,1%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,1%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,2%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,4%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,9%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,11%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,9%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,DEF*,,,,,,,,,,,,,
