1983 San Francisco                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
,"In 1983, the 49ers won their final three games of the season, finishing with a 10-6 record and winning their 2nd NFC Western Divisional Title in three years.  In the NFC Divisional Playoffs, they hosted the Detroit Lions. The 49ers jumped out in front early and led 17-9 entering the 4th quarter, but the Lions roared back, scoring two touchdowns to take a 23—17 lead. However, Montana would lead a comeback, hitting wide receiver Freddie Solomon on a game-winning 14-yard touchdown pass with 2:00 left on the clock to put the 49ers ahead 24—23. The game ended when a potential game-winning FG attempt by Lions kicker Eddie Murray missed. The next week, the 49ers came back from a 21—0 deficit against the Washington Redskins in the NFC Championship Game to tie the game, only to lose, after a questionable pass interference call, 24—21 on a Mark Moseley field goal that sent the Redskins to Super Bowl XVIII.",,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTITATIVE ANALYSIS:,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 1,,11%,19%,29%,19%,38%,8%,21%,48%,26%,,,0%,42%,,,,216,,,,,,,,,
F Lost %,,,,,,,,,,,,,,,,65,10,2,216,25-39,,,,,,,
"1 +1, 2",,78%,70%,53%,64%,53%,72%,63%,9%,56%,,,100%,54%,,,11,3,214,25,,,,,,,
"4 +1, 2",,66%,61%,35%,51%,38%,72%,63%,9%,49%,,,100%,44%,,,12,4,211,25,140,,,,,,
8 +2,,13%,7%,16%,19%,27%,42%,57%,9%,33%,,,100%,30%,,,13,5,207,,,,,,,,
12 +2,,0%,0%,0%,0%,17%,4%,43%,9%,17%,,,83%,17%,,,14,6,202,,,,,,,,
B / T3,,2%,1%,7%,8%,0%,0%,0%,0%,0%,,,0%,0%,,,15,6,196,,,,,,,,
TD,,,,,,0%,0%,0%,3%,0%,,,0%,0%,,,16,4,190,,,,,,,,
(#) 4,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,,,17,3,186,,,,,,,,
F,,2%,2%,3%,1%,1%,3%,3%,2%,3%,,,0%,4%,,,18,2,183,,,,,,,,
OFF Pen,,5%,6%,5%,5%,6%,8%,5%,5%,7%,,,,,,,19,1,181,,,,,,,,
DEF Pen,,2%,2%,4%,1%,2%,6%,6%,7%,5%,,,,,,,20,4,180,,,,,,,,
INT,,,,,,0%,0%,1%,0%,0%,,,,,,,21,6,176,,,,,,,,
QT,,,,,,0%,3%,3%,26%,3%,,,,,,,22,8,170,,,,,,,,
INC,,,,,,0%,0%,0%,0%,0%,,,,,,,23,10,162,,,,,,,,
,,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,100%,100%,,,24,12,152,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,DEF 15,B,9,-3,DEF 5,12,DEF 15,PI 31,OFF 15,0,0,23,23,,,32,12,93,,,,,,,,
,,6,1,2,8,20,5,OFF 5,QT,28,0,0,16,15,,,33,15,81,,,,,,,,
,,7,-3,1,5,10,DEF 15,12,QT,PI 17,0,Yardage factors: 100% / 80%,11,11,,,34,18,66,,,,,,,,
,,1,F + 2,DEF 5,5,19,18,DEF 5X,DEF 5X,9,0,0,12,12,,,35,18,48,,,,,,,,
,,0,7,6,1,0,OFF 5,17,0,19,0,0,19,10,,,36,12,30,,,,,,,,
,,-1,3,-3,8,15,F + 8,11,0,0,0,0,32,-9,,,37,9,18,,,,,,,,
,,F,7,OFF 5,4,OFF 5,8,19,0,3,0,0,23,-5,,,38,6,9,,,,,,,,
,,DEF 5,2,2,9,25,DEF 5,6,0,23,0,0,11,-3,,,39,3,3,,,,,,,,
,,9,5,6,DEF 5,DEF 15,OFF 15,INT 14,OFF 5,41,0,0,25,-14,,,,,,,,,,,,,
,,OFF 15,DEF 15,-11,DEF 15,77,4,OFF 15,DEF 15,DEF 15,0,0,12,-11,,,,,,,,,,,,,
,,B,-2,DEF 15,5,8,6,10,20,18,0,0,18,-5,,,,,,,,,,,,,
,,3,5,-2,8,4,QT,12,DEF 5,14,0,Power rating: 225 ± 0,33,-2,,,,,,,,,,,,,
,,5,2,2,-2,3,6,16,QT,8,0,0,11,F - 8,,,,,,,,,,,,,
,,8,OFF 5,-5,3,OFF 10,7,14,0,7,0,0,10,2,,,,,,,,,,,,,
,,4,6,4,4,2,10,11,0,9,0,0,15,-6,,,,,,,,,,,,,
,,5,5,3,2,-5,6,13,0,2,0,0,14,16,,,,,,,,,,,,,
,,OFF 5,5,5,-1,9,11,9,0,OFF 5,0,0,10,-4,,,,,,,,,,,,,
,,9,5,OFF 15,7,6,6,OFF 10,QT,F + 6,0,0,34,-10,,,,,,,,,,,,,
,,5,8,5,9,27,DEF 5X,18,F + 21,22,0,0,25,-13,,,,,,,,,,,,,
,,OFF 10,OFF 10,8,OFF 10,F - 2,13,PI 12,PI 31,DEF 5,0,0,18,-12,,,,,,,,,,,,,
,,7,4,1,5,11,10,QT,0,OFF 10,0,0,71,-1,,,,,,,,,,,,,
,,2,5,0,OFF 5,-5,OFF 10,15,0,11,0,0,13,7,,,,,,,,,,,,,
,,-2,4,9,4,7,9,0,0,5,0,0,12,5,,,,,,,,,,,,,
,,6,-1,B,0,-1,11,0,0,0,0,0,16,18,,,,,,,,,,,,,
,,7,0,8,B,-2,0,0,QT,0,0,0,17,9,,,,,,,,,,,,,
,,5,7,0,9,0,10,18,QT,0,0,0,16,-7,,,,,,,,,,,,,
,,4,9,-1,5,1,7,12,38,6,0,0,14,1,,,,,,,,,,,,,
,,8,5,7,-2,22,6,7,OFF 10,15,0,0,13,6,,,,,,,,,,,,,
,,1,4,F,6,17,11,F + 10,TD,QT,0,0,39,-3,,,,,,,,,,,,,
,,6,DEF 5,2,F + 11,-7,PI 8,DEF 5,73,DEF 5X,0,0,11,-8,,,,,,,,,,,,,
