,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,,,,,,,,,,,,,"10+2,3,4",,,,,68%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,52%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,34%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,25%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,10%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,10%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,4%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,12%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,6%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,1%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
,,,,,,,,,,,,,,,,,,1%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,5%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,2%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,14,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,12%,DEF*,,,,,,,,
