1983 Chicago                      offense,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,
1 Includes positive “DS” yardage (expected value = 6.5).,,,,,,,,,,,,,,,,,25,12,140,,,,,,,,
2 Includes positive “X” yardage (expected value = 12.5).,,,,,,,,,,,,,,,,,26,8,128,,,,,,,,
"3 Includes positive “T1,” “T2” and “T3” yardage (expected values = 27.5, 55 and 82.5, respectively).",,,,,,,,,,,,,,,,,27,6,120,,,,,,,,
"4 Includes all results that are not combined with defensive results, and override all defensive yardage",,,,,,,,,,,,,,,,,28,4,114,,,,,,,,
  results except for those in square brackets.,,,,,,,,,,,,,,,,,29,2,110,,,,,,,,
,,,,,,,,,,,,,,,,,30,6,108,,,,,,,,
,,,,,,,,,,,,,,,,,31,9,102,,,,,,,,
,,1,2,F,6,30,PI 6,PI 12,74,33,0,0,23,-11,,,32,12,93,,,,,,,,
,,2,5,5,2,6,OFF 5,INT 11,21,11,0,0,18,22,,,33,15,81,,,,,,,,
,,OFF 10,7,F + 1,-3,3,OFF 10,17,DEF 5X,INT 14,0,Yardage factors: 100% / 80%,13,27,,,34,18,66,,,,,,,,
,,6,7,3,4,8,6,15,43,QT,0,0,27,10,,,35,18,48,,,,,,,,
,,-1,6,5,1,5,9,13,QT,14,0,0,11,13,,,36,12,30,,,,,,,,
,,8,OFF 5,5,DEF 5,3,DEF 5X,10,QT,OFF 5,0,0,14,3,,,37,9,18,,,,,,,,
,,9,F + 6,8,-2,15,11,16,PI 50,DEF 5X,0,0,22,11,,,38,6,9,,,,,,,,
,,6,1,7,OFF 10,-7,10,DEF 5X,INT 23,21,0,0,32,2,,,39,3,3,,,,,,,,
,,-3,OFF 15,OFF 10,8,DEF 15,DEF 15,PI 13,73,PI 7,0,0,17,20,,,,,,,,,,,,,
,,OFF 15,9,B,OFF 15,OFF 15,INT 5,OFF 15,49,OFF 15,0,0,16,32,,,,,,,,,,,,,
,,4,3,OFF 15,F + 2,3,16,INT 16,DEF 15,6,0,0,12,13,,,,,,,,,,,,,
,,6,-2,DEF 5,3,14,2,OFF 10,QT,17,0,Power rating: 220½ ± 1,39,9,,,,,,,,,,,,,
,,4,5,-3,OFF 5,F + 14,8,QT,OFF 10,14,0,0,16,-13,,,,,,,,,,,,,
,,DEF 5,0,-1,9,24,9,11,OFF 5,7,0,0,11,7,,,,,,,,,,,,,
,,B,-3,0,3,0,0,0,0,10,0,0,10,8,,,,,,,,,,,,,
,,5,5,B,0,0,0,0,0,0,0,0,13,-7,,,,,,,,,,,,,
,,7,5,-4,6,11,1,14,60,0,0,0,21,-10,,,,,,,,,,,,,
,,5,5,8,2,9,7,12,0,0,0,0,19,6,,,,,,,,,,,,,
,,F - 1,8,6,7,OFF 5,INT 7,0,0,23,0,0,27,12,,,,,,,,,,,,,
,,5,OFF 10,OFF 15,9,DEF 5,12,18,INT 43,DEF 15,0,0,22,4,,,,,,,,,,,,,
,,7,6,9,5,4,5,15,0,0,0,0,20,F - 2,,,,,,,,,,,,,
,,3,4,7,2,10,5,10,0,18,0,0,15,9,,,,,,,,,,,,,
,,-2,B,2,7,6,3,12,87,6,0,0,14,-10,,,,,,,,,,,,,
,,0,5,B,2,9,-2,10,0,0,0,0,23,9,,,,,,,,,,,,,
,,4,3,8,-1,0,0,0,0,0,0,0,20,-3,,,,,,,,,,,,,
,,5,4,4,B,QT,QT,QT,QT,0,0,0,12,-6,,,,,,,,,,,,,
,,OFF 5,B,6,B,OFF 10,6,QT,QT,QT,0,0,22,-5,,,,,,,,,,,,,
,,B,DEF 5,6,3,13,8,11,20,OFF 10,0,0,16,F - 4,,,,,,,,,,,,,
,,9,-1,OFF 5,5,-5,4,OFF 5,72,15,0,0,49,-8,,,,,,,,,,,,,
,,8,6,1,F,52,4,19,23,INT 7,0,0,20,-14,,,,,,,,,,,,,
