,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,,,
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2,,,,,
,,,,,,,,,,,,,,,,,,0%,2,,,,,,,30,6,,,,,
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9,,,,,
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12,,,,,
,,,,,,,,,,,,,,,,,,0%,5,,,,,,,33,15,,,,,
,,,,,,,,,,,,,,,,,,0%,6,,,,,,,34,18,,,,,
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18,,,,,
,,,,,,,,,,,,,,,,,,0%,7,,,,,,,36,12,,,,,
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9,,,,,
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6,,,,,
,,,,,,,,,,,,,,,,,,0%,10,,,,,,,39,3,,,,,
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,13,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,15,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,17,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,18,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,28,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,30,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,45,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,BK*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,F*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,OFF*,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,DEF*,,,,,,,,,,,,,
