,,,,,,,,,,,,,,,,,,,,,Extra point attempt,,,,,,
,F,1,-2,-2,-1,,(15),,,QT,,,71,20,42,7,OFF 15,32,35,,1,1,1,1,,,
,,2,-1,-2,-1,-1,(32),,,QT,,,57,14,31*,1,,21,36,,1,1,1,1,,,
,,3,-1,,,,(15),(10),QT,QT,QT,,64,15,36*,F,,DEF 5,37,,1,1,1,1,,,
,Blitz,4,(12),10,(19),10,,,QT,[TD],QT,,70,38,44*,16,34,5,38,,1,1,1,1,,,
,,5,(0),15,-6,(-1),,QT,INT 14,[TD],QT,,60,39,51,15,13,2,39,,1,1,-4,1,,,
,"Record: 7-9-0, Finished 4th in AFC East Division...W 41-29 at San Diego Chargers;  L 17-10 vs Seattle Seahawks;  L 23-13 at New England Patriots; W 27-24 vs Los Angeles Rams (OT); W 34-10 at Buffalo Bills; L 10-7 at Cleveland Browns;  L 32-14 vs Miami Dolphins; L 27-21 vs Atlanta Falcons; W 27-13 at San Francisco 49ers; L 17-14 vs Baltimore Colts; L 24-17 vs Buffalo Bills; W 31-28 at New Orleans Saints; W 26-3 vs New England Patriots; W 10-6 at Baltimore Colts; L 34-7 vs Pittsburgh Steelers; L 34-14 at Miami Dolphins.  
",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FIELD GOALS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Failed,,,,,4%,,,,,,,,,216
,,,,,,,,,,,,,"1+1,2,3,4",,,,,85%,,,,,,,,10,2
,,,,,,,,,,,,,"5+1,2,3,4",,,,,84%,,,,,,,,11,3
,,,,,,,,,,,,,"10+2,3,4",,,,,75%,,,,,,,,12,4
,,,,,,,,,,,,,"15+3,4",,,,,67%,,,,,,,,13,5
,,,,,,,,,,,,,"20+3,4",,,,,55%,,,,,,,,14,6
,,,,,,,,,,,,,"25+3,4",,,,,41%,,,,,,,,15,6
,,,,,,,,,,,,,30+4,,,,,31%,,,,,,,,16,4
,,,,,,,,,,,,,35+4,,,,,2%,,,,,,,,17,3
,,,,,,,,,,,,,40+4,,,,,0%,,,,,,,,18,2
,,,,,,,,,,,,,OFF,,,,,6%,,,,,,,,19,1
,,,,,,,,,,,,,DEF,,,,,5%,,,,,,,,20,4
,,,,,,,,,,,,,,,,,,100%,,,,,,,,21,6
,,,,,,,,,,,,,1 Includes “DS” (expected value = 6.5).,,,,,,,,,,,,,22,8
,,,,,,,,,,,,,2 Includes “X” (expected value = 12.5).,,,,,,,,,,,,,23,10
,,,,,,,,,,,,,3 Includes “T1” (expected value = 27.5).,,,,,,,,,,,,,24,12
,,,,,,,,,,,,,"4 Includes “T2” and “T3” (expected values = 55
  and 82.5, respectively).",,,,,,,,,,,,,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,26,8
,,,,,,,,,,,,,,,,,,,,,,,,,,27,6
,,,,,,,,,,,,,,,,,,,,,,,,,,28,4
,,,,,,,,,,,,,,,,,,0%,1,,,,,,,29,2
,,,,,,,,,,,,,,,,,,1%,2,,,,,,,30,6
,,,,,,,,,,,,,,,,,,0%,3,,,,,,,31,9
,,,,,,,,,,,,,,,,,,0%,4,,,,,,,32,12
,,,,,,,,,,,,,,,,,,3%,5,,,,,,,33,15
,,,,,,,,,,,,,,,,,,1%,6,,,,,,,34,18
,,,,,,,,,,,,,,,,,,0%,DS,,,,,,,35,18
,,,,,,,,,,,,,,,,,,6%,7,,,,,,,36,12
,,,,,,,,,,,,,,,,,,0%,8,,,,,,,37,9
,,,,,,,,,,,,,,,,,,0%,9,,,,,,,38,6
,,,,,,,,,,,,,,,,,,2%,10,,,,,,,39,3
,,,,,,,,,,,,,,,,,,0%,11,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,12,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,X,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,13,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,14,,,,,,,,
,,,,,,,,,,,,,,,,,,1%,15,,,,,,,,
,,,,,,,,,,,,,,,,,,7%,16,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,17,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,18,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,19,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,20,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,21,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,22,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,23,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,24,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,25,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,26,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,27,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T1,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,28,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,29,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,30,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,31,,,,,,,,
,,,,,,,,,,,,,,,,,,8%,32,,,,,,,,
,,,,,,,,,,,,,,,,,,3%,33,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,34,,,,,,,,
,,,,,,,,,,,,,,,,,,2%,35,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,36,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,37,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,38,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,39,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,40,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,41,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,42,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,43,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,44,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,45,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,46,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,47,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,48,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,49,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,50,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,51,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,52,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,53,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,54,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,55,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T2,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,56,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,57,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,58,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,59,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,60,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,61,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,62,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,63,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,64,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,65,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,T3,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,NG,,,,,,,,
,,,,,,,,,,,,,,,,,,4%,BK*,,,,,,,,
,,,,,,,,,,,,,,,,,,0%,F*,,,,,,,,
,,,,,,,,,,,,,,,,,,6%,OFF*,,,,,,,,
,,,,,,,,,,,,,,,,,,5%,DEF*,,,,,,,,
